15:42:00.868	127.0.0.1:52284	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.24 ms
15:42:00.882	127.0.0.1:52283	admin	REQUEST	EXIT	15.66 ms
15:42:00.882	127.0.0.1:52283	admin	OK		0.24 ms
15:42:00.883	127.0.0.1:52284	admin	OK	EXEC[0]	14.53 ms
15:42:00.884	127.0.0.1:52284	admin	OK	CLOSE[0]	0.09 ms
15:42:00.884	127.0.0.1:52284	admin	REQUEST	EXIT	0.4 ms
15:42:00.884	127.0.0.1:52284	admin	OK		0.16 ms
15:42:06.074	SERVER	admin	OK	Server was stopped (port: 1984).
15:42:30.883	SERVER	admin	OK	Server was started (port: 1984).
15:42:33.473	127.0.0.1:52286	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	3.76 ms
15:42:33.557	127.0.0.1:52286	admin	REQUEST	EXEC[0]	83.79 ms
15:42:33.557	127.0.0.1:52286	admin	ERROR	Stopped at ., 1/65: [XQST0059] Could not retrieve module: /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/app/music.xqm.	0.14 ms
15:42:33.574	127.0.0.1:52286	admin	REQUEST	EXIT	16.79 ms
15:42:33.575	127.0.0.1:52286	admin	OK		0.59 ms
15:42:35.626	SERVER	admin	OK	Server was stopped (port: 1984).
15:42:46.757	SERVER	admin	OK	Server was started (port: 1984).
15:42:49.302	127.0.0.1:52288	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	3.53 ms
15:42:49.802	127.0.0.1:52288	admin	OK	EXEC[0]	499.01 ms
15:42:49.802	127.0.0.1:52288	admin	OK	CLOSE[0]	0.11 ms
15:42:49.805	127.0.0.1:52289	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.18 ms
15:42:49.817	127.0.0.1:52289	admin	OK	EXEC[0]	12.22 ms
15:42:49.817	127.0.0.1:52289	admin	OK	CLOSE[0]	0.12 ms
15:42:49.818	127.0.0.1:52288	admin	REQUEST	EXIT	15.04 ms
15:42:49.818	127.0.0.1:52289	admin	REQUEST	EXIT	0.32 ms
15:42:49.818	127.0.0.1:52288	admin	OK		0.31 ms
15:42:49.818	127.0.0.1:52289	admin	OK		0.2 ms
15:42:51.875	127.0.0.1:52291	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.15 ms
15:42:51.885	127.0.0.1:52291	admin	OK	EXEC[0]	10.07 ms
